booth_num,path_id,center_svg_x,center_svg_y,svgPoints,coords
37,path1325,598,194.88,"592.8,189.6 592.8,200.16 603.2,200.16 603.2,189.6","[[58.69,592.8],[48.13,592.8],[48.13,603.2],[58.69,603.2]]"
38,path1327,598,205.68,"592.8,200.48 592.8,210.88 603.2,210.88 603.2,200.48","[[47.81,592.8],[37.41,592.8],[37.41,603.2],[47.81,603.2]]"
39,path1329,598,216.48,"592.8,211.2 592.8,221.76 603.2,221.76 603.2,211.2","[[37.09,592.8],[26.53,592.8],[26.53,603.2],[37.09,603.2]]"
40,path1331,608.8,194.88,"603.52,189.6 603.52,200.16 614.08,200.16 614.08,189.6","[[58.69,603.52],[48.13,603.52],[48.13,614.08],[58.69,614.08]]"
41,path1333,608.8,205.68,"603.52,200.48 603.52,210.88 614.08,210.88 614.08,200.48","[[47.81,603.52],[37.41,603.52],[37.41,614.08],[47.81,614.08]]"
42,path1335,608.8,216.48,"603.52,211.2 603.52,221.76 614.08,221.76 614.08,211.2","[[37.09,603.52],[26.53,603.52],[26.53,614.08],[37.09,614.08]]"
43,path1337,608.8,227.36,"603.52,222.08 603.52,232.64 614.08,232.64 614.08,222.08","[[26.21,603.52],[15.65,603.52],[15.65,614.08],[26.21,614.08]]"
44,path1339,598,184,"592.8,178.72 592.8,189.28 603.2,189.28 603.2,178.72","[[69.57,592.8],[59.01,592.8],[59.01,603.2],[69.57,603.2]]"
45,path1341,608.8,184,"603.52,178.72 603.52,189.28 614.08,189.28 614.08,178.72","[[69.57,603.52],[59.01,603.52],[59.01,614.08],[69.57,614.08]]"
46,path1343,630.56,173.36,"625.28,168.16 625.28,178.56 635.84,178.56 635.84,168.16","[[80.13,625.28],[69.73,625.28],[69.73,635.84],[80.13,635.84]]"
47,path1345,630.56,162.56,"625.28,157.28 625.28,167.84 635.84,167.84 635.84,157.28","[[91.01,625.28],[80.45,625.28],[80.45,635.84],[91.01,635.84]]"
48,path1347,597.2,246.48,"592,241.28 592,251.68 602.4,251.68 602.4,241.28","[[7.01,592],[-3.39,592],[-3.39,602.4],[7.01,602.4]]"
49,path1349,597.2,257.28,"592,252 592,262.56 602.4,262.56 602.4,252","[[-3.71,592],[-14.27,592],[-14.27,602.4],[-3.71,602.4]]"
50,path1351,597.2,268.16,"592,262.88 592,273.44 602.4,273.44 602.4,262.88","[[-14.59,592],[-25.15,592],[-25.15,602.4],[-14.59,602.4]]"
51,path1353,630.4,247.84,"625.12,242.56 625.12,253.12 635.68,253.12 635.68,242.56","[[5.73,625.12],[-4.83,625.12],[-4.83,635.68],[5.73,635.68]]"
52,path1355,628.32,260.24,"625.12,253.44 625.12,267.04 631.52,267.04 631.52,253.44","[[-5.15,625.12],[-18.75,625.12],[-18.75,631.52],[-5.15,631.52]]"
53,path1357,566.08,130.88,"560.8,125.6 560.8,136.16 571.36,136.16 571.36,125.6","[[122.69,560.8],[112.13,560.8],[112.13,571.36],[122.69,571.36]]"
54,path1359,566.08,120,"560.8,114.72 560.8,125.28 571.36,125.28 571.36,114.72","[[133.57,560.8],[123.01,560.8],[123.01,571.36],[133.57,571.36]]"
55,path1361,576.96,130.88,"571.68,125.6 571.68,136.16 582.24,136.16 582.24,125.6","[[122.69,571.68],[112.13,571.68],[112.13,582.24],[122.69,582.24]]"
56,path1363,576.96,120,"571.68,114.72 571.68,125.28 582.24,125.28 582.24,114.72","[[133.57,571.68],[123.01,571.68],[123.01,582.24],[133.57,582.24]]"
57,path1365,534.32,130.72,"529.12,125.44 529.12,136 539.52,136 539.52,125.44","[[122.85,529.12],[112.29,529.12],[112.29,539.52],[122.85,539.52]]"
58,path1367,545.12,130.72,"539.84,125.44 539.84,136 550.4,136 550.4,125.44","[[122.85,539.84],[112.29,539.84],[112.29,550.4],[122.85,550.4]]"
59,path1369,597.92,130.72,"592.64,125.44 592.64,136 603.2,136 603.2,125.44","[[122.85,592.64],[112.29,592.64],[112.29,603.2],[122.85,603.2]]"
60,path1371,608.8,130.72,"603.52,125.44 603.52,136 614.08,136 614.08,125.44","[[122.85,603.52],[112.29,603.52],[112.29,614.08],[122.85,614.08]]"
61,path1373,630.24,123.28,"624.96,118.08 624.96,128.48 635.52,128.48 635.52,118.08","[[130.21,624.96],[119.81,624.96],[119.81,635.52],[130.21,635.52]]"
62,path1375,630.24,134.08,"624.96,128.8 624.96,139.36 635.52,139.36 635.52,128.8","[[119.49,624.96],[108.93,624.96],[108.93,635.52],[119.49,635.52]]"
63,path1377,600,109.28,"594.72,104 594.72,114.56 605.28,114.56 605.28,104","[[144.29,594.72],[133.73,594.72],[133.73,605.28],[144.29,605.28]]"
64,path1379,610.88,109.28,"605.6,104 605.6,114.56 616.16,114.56 616.16,104","[[144.29,605.6],[133.73,605.6],[133.73,616.16],[144.29,616.16]]"
65,path1381,621.68,109.28,"616.48,104 616.48,114.56 626.88,114.56 626.88,104","[[144.29,616.48],[133.73,616.48],[133.73,626.88],[144.29,626.88]]"
66,path1383,521.12,109.28,"515.84,104 515.84,114.56 526.4,114.56 526.4,104","[[144.29,515.84],[133.73,515.84],[133.73,526.4],[144.29,526.4]]"
67,path1385,531.92,109.28,"526.72,104 526.72,114.56 537.12,114.56 537.12,104","[[144.29,526.72],[133.73,526.72],[133.73,537.12],[144.29,537.12]]"
68,path1387,542.72,109.28,"537.44,104 537.44,114.56 548,114.56 548,104","[[144.29,537.44],[133.73,537.44],[133.73,548],[144.29,548]]"
69,path1722,630.24,194.88,"624.96,189.6 624.96,200.16 635.52,200.16 635.52,189.6","[[58.69,624.96],[48.13,624.96],[48.13,635.52],[58.69,635.52]]"
70,path1724,630.24,205.68,"624.96,200.48 624.96,210.88 635.52,210.88 635.52,200.48","[[47.81,624.96],[37.41,624.96],[37.41,635.52],[47.81,635.52]]"
71,path1726,630.24,216.48,"624.96,211.2 624.96,221.76 635.52,221.76 635.52,211.2","[[37.09,624.96],[26.53,624.96],[26.53,635.52],[37.09,635.52]]"
72,path1728,630.24,227.36,"624.96,222.08 624.96,232.64 635.52,232.64 635.52,222.08","[[26.21,624.96],[15.65,624.96],[15.65,635.52],[26.21,635.52]]"
